repo_name,Number of Releases
Hironsan/anago,5
cmusatyalab/openface,5
facebookresearch/flashlight,5
jmschrei/pomegranate,5
mit-nlp/MITIE,5
torchgan/torchgan,5
brainiak/brainiak,6
PaddlePaddle/LARK,6
jeeliz/jeelizFaceFilter,6
tensorly/tensorly,6
benfred/implicit,7
fastnlp/fastNLP,7
openvenues/libpostal,7
philipperemy/keras-tcn,8
microsoft/CameraTraps,8
Hananel-Hazan/bindsnet,9
NeuroTechX/moabb,9
NUAA-AL/ALiPy,9
pyannote/pyannote-audio,9
atomistic-machine-learning/schnetpack,10
maxpumperla/elephas,10
pavlin-policar/openTSNE,10
loli/medpy,11
SuperCowPowers/bat,11
alfredfrancis/ai-chatbot-framework,11
LexPredict/lexpredict-lexnlp,11
mne-tools/mne-cpp,11
allenai/scispacy,12
ultralytics/yolov3,12
microsoft/MMdnn,12
OlafenwaMoses/ImageAI,12
olivia-ai/olivia,13
modAL-python/modAL,13
nilearn/nilearn,13
infinitered/nsfwjs,14
Accenture/AmpliGraph,14
BVLC/caffe,14
esimov/pigo,14
intel/dffml,14
openml/automlbenchmark,14
openml/openml-python,14
dmlc/gluon-nlp,15
IDSIA/sacred,15
nok/sklearn-porter,15
CMU-Perceptual-Computing-Lab/openpose,15
autonomio/talos,16
HazyResearch/snorkel,16
neurodata/graspy,16
microsoft/dowhy,16
HealthCatalyst/healthcareai-r,17
hls-fpga-machine-learning/hls4ml,17
PaddlePaddle/VisualDL,17
creme-ml/creme,17
skorch-dev/skorch,17
explosion/sense2vec,18
Tiiiger/bert_score,18
fukuball/jieba-php,18
tensorflow/ranking,18
Angel-ML/angel,19
nyu-mll/jiant,19
deepchem/deepchem,20
leon-ai/leon,20
intel-analytics/BigDL,20
mlr-org/mlr,20
kermitt2/grobid,21
rtavenar/tslearn,21
SmartDataAnalytics/PyKEEN,21
sipeed/MaixPy,22
kelaberetiv/TagUI,23
scikit-optimize/scikit-optimize,23
geomstats/geomstats,23
pytorch/ignite,23
awslabs/mxnet-model-server,24
DistrictDataLabs/yellowbrick,24
jsbroks/coco-annotator,27
deepmind/dm_control,28
facebookresearch/habitat-sim,28
microsoft/pai,28
zalandoresearch/flair,28
rflamary/POT,29
bigartm/bigartm,30
microsoft/AirSim,30
sebp/scikit-survival,30
VowpalWabbit/vowpal_wabbit,30
mwydmuch/ViZDoom,30
IntelAI/models,31
pytorch/text,31
chakki-works/doccano,32
nubank/fklearn,32
rasbt/mlxtend,32
microsoft/EconML,33
tesseract-ocr/tesseract,33
IntelAI/OpenVINO-model-server,34
apache/incubator-mxnet,34
materialsvirtuallab/megnet,34
microsoft/LightGBM,34
pyro-ppl/pyro,35
zhenghaoz/gorse,35
dotnet/machinelearning,36
DigitalSlideArchive/HistomicsTK,37
shenweichen/DeepCTR,38
zvtvz/zvt,39
dmlc/dgl,39
scikit-learn-contrib/imbalanced-learn,39
arraiyopensource/kornia,41
yzhao062/pyod,42
qupath/qupath,43
axa-group/nlp.js,43
RaRe-Technologies/gensim,43
biolab/orange3,44
rapidsai/cuml,44
Tencent/ncnn,44
SMTorg/smt,46
pytorch/vision,46
undertheseanlp/underthesea,46
microsoft/interpret,50
OpenNMT/OpenNMT-py,50
ml5js/ml5-library,50
uber/ludwig,51
opencv/dldt,51
WeBankFinTech/FATE,51
hellohaptik/chatbot_ner,53
espnet/espnet,54
microsoft/onnxruntime,55
slundberg/shap,55
scikit-learn-contrib/hdbscan,56
AlexEMG/DeepLabCut,58
mne-tools/mne-python,58
allenai/allennlp,59
go-ego/gse,60
hankcs/HanLP,62
Azure/mmlspark,62
dmlc/xgboost,62
microsoft/Recognizers-Text,63
poldracklab/mriqc,65
opencv/opencv,65
wkentaro/labelme,70
SeldonIO/seldon-core,74
spencermountain/compromise,75
tensorflow/tensor2tensor,75
awslabs/sockeye,76
RubixML/RubixML,78
alan-turing-institute/sktime,85
ironmussa/Optimus,87
explosion/thinc,87
gunthercox/ChatterBot,88
NVIDIA/DALI,88
theislab/scanpy,89
catboost/catboost,89
Drakkar-Software/OctoBot,112
explosion/spaCy,127
MycroftAI/mycroft-core,128
plasticityai/magnitude,133
JohnSnowLabs/spark-nlp,143
explosion/spacy-models,1096