Project_name,contributors,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,Total_Smells
plasticityai/magnitude,4,0,120,120,0,0,0,3,120,0,120,0,483
go-ego/gse,5,0,58,58,0,0,0,6,58,1,58,0,239
NUAA-AL/ALiPy,6,0,8,8,1,0,1,6,8,0,8,0,40
LexPredict/lexpredict-lexnlp,7,0,1,1,0,0,0,0,1,0,1,0,4
nok/sklearn-porter,7,0,13,14,1,0,1,6,14,3,14,0,66
SuperCowPowers/bat,8,0,9,10,1,0,1,2,10,1,10,0,44
pavlin-policar/openTSNE,9,0,8,9,3,0,1,6,9,1,9,0,46
esimov/pigo,9,0,13,13,0,0,0,5,13,0,13,0,57
materialsvirtuallab/megnet,9,1,33,33,2,0,0,30,33,1,33,0,166
undertheseanlp/underthesea,9,1,42,43,3,0,0,14,43,1,43,0,190
torchgan/torchgan,10,3,4,4,1,0,3,2,4,0,4,0,25
loli/medpy,10,2,9,9,0,3,3,5,9,0,9,0,49
Hironsan/anago,11,0,4,4,0,0,0,3,4,0,4,0,19
modAL-python/modAL,11,3,10,12,4,0,1,8,12,0,12,0,62
sebp/scikit-survival,11,1,29,30,4,0,0,19,30,0,30,0,143
OlafenwaMoses/ImageAI,12,3,9,11,3,0,1,5,11,0,11,0,54
Accenture/AmpliGraph,12,1,12,13,4,0,1,12,13,3,13,0,72
fukuball/jieba-php,12,3,17,17,3,2,3,1,17,0,17,0,80
shenweichen/DeepCTR,12,5,37,37,2,0,5,14,37,0,37,0,174
qupath/qupath,12,0,41,42,2,0,2,25,42,8,42,0,204
explosion/spacy-models,12,7,942,1002,127,0,4,934,1002,221,1002,0,5241
philipperemy/keras-tcn,14,1,7,7,1,0,0,3,7,0,7,0,33
explosion/sense2vec,14,6,16,17,5,0,3,14,17,0,17,0,95
autonomio/talos,16,5,14,15,3,0,3,8,15,0,15,0,78
HealthCatalyst/healthcareai-r,16,0,14,15,4,0,0,11,16,9,16,0,85
Tiiiger/bert_score,16,2,17,17,5,0,3,16,17,0,17,0,94
allenai/scispacy,16,3,10,10,5,1,1,9,11,2,10,0,62
kelaberetiv/TagUI,16,0,21,22,3,0,0,11,22,5,22,0,106
Drakkar-Software/OctoBot,16,0,110,111,5,0,0,90,111,10,111,0,548
olivia-ai/olivia,17,0,11,11,1,0,1,4,11,2,11,0,52
jeeliz/jeelizFaceFilter,18,1,3,5,3,0,0,4,5,0,5,0,26
leon-ai/leon,18,0,17,18,1,0,1,15,18,10,18,0,98
SMTorg/smt,19,2,45,46,11,0,0,42,46,0,46,0,238
NeuroTechX/moabb,20,7,8,9,5,0,3,8,7,0,9,0,56
maxpumperla/elephas,20,0,7,7,0,0,0,3,7,0,7,0,31
alfredfrancis/ai-chatbot-framework,21,0,10,10,0,0,0,4,10,0,10,0,44
openml/automlbenchmark,21,1,11,12,2,0,1,7,11,1,12,0,58
mit-nlp/MITIE,22,2,4,4,1,1,1,1,4,0,4,0,22
ironmussa/Optimus,22,0,86,86,1,0,0,66,86,15,86,0,426
atomistic-machine-learning/schnetpack,24,1,7,9,3,0,0,6,9,2,8,0,45
infinitered/nsfwjs,24,3,11,12,5,1,2,7,13,0,13,0,67
DigitalSlideArchive/HistomicsTK,25,4,31,33,7,0,4,24,32,2,33,0,170
cmusatyalab/openface,26,0,4,4,0,1,1,2,4,1,4,0,21
microsoft/CameraTraps,27,0,3,4,3,1,1,4,5,2,5,0,28
deepmind/dm_control,27,1,27,24,2,0,0,27,27,0,27,0,135
microsoft/EconML,27,1,31,31,7,0,0,30,31,0,31,0,162
microsoft/interpret,27,1,49,50,8,0,0,43,50,8,50,0,259
RubixML/RubixML,27,2,77,77,5,0,3,50,77,0,77,0,368
benfred/implicit,28,0,6,6,0,0,0,4,6,0,6,0,28
sipeed/MaixPy,28,0,22,22,0,0,0,20,22,0,22,0,108
tensorflow/ranking,29,3,16,16,4,0,0,15,16,1,16,0,87
zhenghaoz/gorse,29,2,33,33,3,0,1,22,33,0,33,0,160
PaddlePaddle/VisualDL,30,1,16,16,3,0,2,15,16,0,16,0,85
bigartm/bigartm,30,3,26,27,4,0,1,26,26,1,27,0,141
SmartDataAnalytics/PyKEEN,31,4,19,20,6,0,0,20,20,0,20,0,109
IntelAI/OpenVINO-model-server,31,0,23,24,1,0,0,20,23,7,24,0,122
brainiak/brainiak,32,0,4,4,0,0,0,2,4,0,4,0,18
poldracklab/mriqc,32,8,61,64,11,0,2,45,64,2,64,0,321
PaddlePaddle/LARK,33,2,5,5,2,0,1,5,5,0,5,0,30
pyannote/pyannote-audio,34,2,6,8,4,0,2,6,7,0,8,0,43
rtavenar/tslearn,34,4,16,19,4,0,4,14,19,3,19,0,102
jsbroks/coco-annotator,35,3,26,26,2,0,2,14,25,0,26,0,124
hankcs/HanLP,35,1,59,59,5,0,0,28,59,0,59,0,270
yzhao062/pyod,36,6,39,41,11,0,1,39,41,2,41,0,221
hellohaptik/chatbot_ner,36,5,51,52,5,1,3,41,51,2,52,0,263
mne-tools/mne-cpp,38,0,9,10,1,0,0,9,9,6,10,0,54
Hananel-Hazan/bindsnet,39,1,6,8,5,0,2,6,8,3,8,0,47
openml/openml-python,39,6,13,13,7,0,2,10,13,2,13,0,79
hls-fpga-machine-learning/hls4ml,39,1,13,16,6,1,0,11,13,2,17,0,80
kermitt2/grobid,40,2,15,17,11,0,0,12,20,5,16,0,98
ultralytics/yolov3,41,1,9,11,3,0,1,10,11,3,11,0,60
openvenues/libpostal,42,0,4,6,3,0,1,4,5,4,6,0,33
fastnlp/fastNLP,43,1,4,6,2,0,0,3,5,2,6,0,29
mwydmuch/ViZDoom,43,3,28,28,8,1,2,23,28,1,28,0,150
awslabs/mxnet-model-server,45,5,22,23,5,0,5,15,23,3,23,0,124
tensorly/tensorly,46,0,3,4,4,0,0,1,3,1,4,0,20
nyu-mll/jiant,46,0,17,18,2,0,0,16,16,1,18,0,88
facebookresearch/habitat-sim,47,5,19,24,11,1,2,15,21,3,21,0,122
rflamary/POT,47,6,25,28,9,0,4,15,28,4,28,0,147
skorch-dev/skorch,48,9,16,16,12,0,2,15,16,0,16,0,102
Angel-ML/angel,49,2,15,17,4,0,0,16,16,5,18,0,93
,,53,81,81,69,11,46,80,81,44,81,,
Average,,1.96,33.53,35.10,5.12,0.17,1.17,26.32,34.95,4.59,35.14,0.00,
Min,,0,1,1,0,0,0,0,1,0,1,#REF!,
Max,,9,942,1002,127,3,5,934,1002,221,1002,#REF!,
std.dev,,2.22,104.70,111.11,14.04,0.49,1.36,103.26,111.13,24.51,111.10,#REF!,
median,,1,15,16,3,0,1,11,16,1,16,#REF!,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
nubank/fklearn,50,6,26,26,4,0,4,18,26,0,26,0,136
wkentaro/labelme,50,0,69,71,4,0,2,25,71,0,71,0,313
facebookresearch/flashlight,51,3,1,4,3,0,1,1,3,1,4,0,21
awslabs/sockeye,51,5,72,72,6,1,3,62,72,0,72,0,365
neurodata/graspy,52,4,13,14,6,0,3,11,13,0,14,0,78
zvtvz/zvt,53,0,38,38,0,1,0,10,37,0,38,0,162
explosion/thinc,53,5,78,78,6,0,3,63,77,7,78,0,395
intel/dffml,55,1,12,13,2,1,0,11,11,2,13,0,66
axa-group/nlp.js,57,1,41,42,2,0,1,26,42,1,42,0,198
microsoft/dowhy,58,6,12,13,10,0,3,12,14,0,13,0,83
geomstats/geomstats,58,0,15,22,7,2,1,15,16,11,22,0,111
scikit-learn-contrib/imbalanced-learn,58,6,36,37,10,1,5,35,36,0,37,0,203
jmschrei/pomegranate,61,1,3,1,3,0,2,1,2,2,0,0,15
scikit-optimize/scikit-optimize,64,5,15,22,9,4,1,16,18,0,22,0,112
scikit-learn-contrib/hdbscan,64,14,54,54,18,0,10,36,53,0,54,0,293
microsoft/MMdnn,67,2,9,11,2,1,2,9,10,1,11,0,58
HazyResearch/snorkel,68,5,13,15,5,1,4,9,13,1,15,0,81
WeBankFinTech/FATE,69,2,40,40,3,0,0,38,41,26,44,0,234
mlr-org/mlr,74,13,16,19,3,0,0,18,17,1,19,0,106
NVIDIA/DALI,75,0,87,87,0,0,0,86,87,1,87,0,435
dmlc/gluon-nlp,77,4,10,13,5,2,0,12,9,0,13,0,68
IntelAI/models,78,2,25,30,5,1,0,22,29,6,28,0,148
rasbt/mlxtend,79,14,28,31,16,1,8,26,31,3,31,0,189
chakki-works/doccano,80,2,27,31,6,0,0,25,30,5,31,0,157
creme-ml/creme,82,9,13,16,9,0,1,16,16,1,16,0,97
microsoft/pai,83,1,26,26,1,4,0,25,27,3,26,0,139
ml5js/ml5-library,83,4,46,49,7,1,1,47,48,2,49,0,254
gunthercox/ChatterBot,84,6,85,89,9,2,3,53,89,0,89,0,425
Azure/mmlspark,87,7,58,58,6,0,0,49,55,0,58,0,291
spencermountain/compromise,87,3,72,74,9,1,2,52,73,8,74,0,368
IDSIA/sacred,90,7,12,14,6,4,6,8,13,1,14,0,85
biolab/orange3,92,1,32,42,6,0,0,32,43,23,43,0,222
AlexEMG/DeepLabCut,93,5,55,53,11,0,1,51,55,0,55,0,286
CMU-Perceptual-Computing-Lab/openpose,96,6,11,14,5,0,4,7,13,0,14,0,74
theislab/scanpy,100,2,89,89,5,0,0,87,89,0,89,0,450
JohnSnowLabs/spark-nlp,100,2,139,140,3,0,0,136,139,5,139,0,703
DistrictDataLabs/yellowbrick,105,12,23,23,11,3,2,23,20,0,23,0,140
rapidsai/cuml,117,10,35,40,7,14,0,32,30,1,40,0,209
uber/ludwig,121,4,41,49,10,4,0,39,43,1,49,0,240
microsoft/Recognizers-Text,121,13,59,61,12,1,3,55,59,1,61,0,325
pyro-ppl/pyro,122,12,32,34,14,0,1,31,29,0,34,0,187
pytorch/text,132,13,27,30,14,2,1,25,27,0,30,0,169
deepchem/deepchem,146,0,6,19,12,6,1,3,9,12,19,0,87
SeldonIO/seldon-core,147,7,68,70,6,1,1,61,68,13,71,0,366
,,39,44,44,42,23,29,44,44,26,43,,
Average,,5.11,37.93,40.32,6.77,1.34,1.82,32.25,38.70,3.16,40.41,#REF!,
Min,,0,1,1,0,0,0,1,2,0,0,#REF!,
Max,,14,139,140,18,14,10,136,139,26,139,#REF!,
std.dev,,4.26,29.41,28.73,4.20,2.43,2.22,26.69,29.23,5.79,28.75,#REF!,
median,,4.5,30,32.5,6,1,1,25,30,1,32.5,#REF!,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MycroftAI/mycroft-core,157,4,123,126,5,1,0,120,123,0,126,0,628
tesseract-ocr/tesseract,158,10,21,23,18,0,4,19,26,6,22,0,149
nilearn/nilearn,159,5,9,11,7,0,0,9,11,0,11,0,63
intel-analytics/BigDL,159,1,5,10,6,0,0,5,10,4,10,0,51
OpenNMT/OpenNMT-py,163,9,48,49,12,1,1,47,47,0,49,0,263
slundberg/shap,165,12,46,55,11,5,3,43,51,1,55,0,282
pytorch/ignite,170,13,20,23,16,3,1,20,13,0,23,0,132
dotnet/machinelearning,179,14,33,33,12,4,0,31,24,1,34,0,186
catboost/catboost,183,0,66,88,8,8,0,63,68,5,88,0,394
zalandoresearch/flair,185,1,13,25,16,1,0,12,25,12,13,0,118
arraiyopensource/kornia,189,15,32,40,14,4,1,36,33,1,40,0,216
espnet/espnet,190,0,37,54,8,8,0,34,36,34,54,0,265
alan-turing-institute/sktime,191,6,76,84,6,5,0,77,75,1,84,0,414
microsoft/AirSim,203,5,17,23,16,3,4,14,23,0,17,0,122
VowpalWabbit/vowpal_wabbit,210,7,16,29,12,3,3,19,24,5,29,0,147
tensorflow/tensor2tensor,217,3,68,73,6,1,0,67,69,6,73,0,366
Tencent/ncnn,228,18,30,43,21,1,0,33,36,3,43,0,228
dmlc/dgl,229,4,28,38,9,7,0,27,28,5,38,0,184
allenai/allennlp,254,5,55,54,7,1,2,55,57,0,55,0,291
BVLC/caffe,261,1,6,13,4,4,2,7,10,6,13,0,66
microsoft/LightGBM,265,13,21,33,18,7,2,20,18,0,33,0,165
opencv/opencv,294,0,14,64,42,12,1,14,45,25,64,0,281
mne-tools/mne-python,299,5,32,55,18,12,0,33,37,6,55,0,253
opencv/dldt,357,0,36,50,1,0,0,33,37,6,50,0,213
microsoft/onnxruntime,372,0,37,55,2,0,0,34,38,6,55,0,227
apache/incubator-mxnet,375,3,17,30,9,2,0,11,14,4,29,0,119
RaRe-Technologies/gensim,383,14,39,42,15,7,1,37,35,0,42,0,232
explosion/spaCy,403,7,112,126,10,15,0,108,125,8,126,0,637
dmlc/xgboost,412,13,44,62,16,12,3,50,43,3,62,0,308
pytorch/vision,454,14,31,45,17,22,2,27,30,0,45,0,233
,,,,,,,,,,,,,
,,25,30,30,30,25,14,30,30,21,30,,
Average,,6.73,37.73,48.53,12.07,4.97,1.00,36.83,40.37,4.93,47.93,#REF!,
Min,,0,5,10,1,0,0,5,10,0,10,#REF!,
Max,,18,123,126,42,22,4,120,125,34,126,#REF!,
std.dev,,5.56,28.20,28.87,7.74,5.29,1.31,27.75,28.51,7.44,29.52,#REF!,
median,,5,32,44,11.5,3.5,0,33,35.5,3.5,44,#REF!,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,
small,median,,1,15,16,3,0,1,11,16,1,16,
,Average,,1.96,33.53,35.10,5.12,0.17,1.17,26.32,34.95,4.59,35.14,
,Min,,0,1,1,0,0,0,0,1,0,1,
,Max,,9,942,1002,127,3,5,934,1002,221,1002,
,std.dev,,2.22,104.70,111.11,14.04,0.49,1.36,103.26,111.13,24.51,111.10,
,,,,,,,,,,,,,
medium,median,,4.5,30,32.5,6,1,1,25,30,1,32.5,#REF!
,Average,,5.11,37.93,40.32,6.77,1.34,1.82,32.25,38.70,3.16,40.41,#REF!
,Min,,0,1,1,0,0,0,1,2,0,0,#REF!
,Max,,14,139,140,18,14,10,136,139,26,139,#REF!
,std.dev,,4.26,29.41,28.73,4.20,2.43,2.22,26.69,29.23,5.79,28.75,#REF!
,,,,,,,,,,,,,
large,median,,5,32,44,11.5,3.5,0,33,35.5,3.5,44,#REF!
,Average,,6.73,37.73,48.53,12.07,4.97,1.00,36.83,40.37,4.93,47.93,#REF!
,Min,,0,5,10,1,0,0,5,10,0,10,#REF!
,Max,,18,123,126,42,22,4,120,125,34,126,#REF!
,std.dev,,5.56,28.20,28.87,7.74,5.29,1.31,27.75,28.51,7.44,29.52,#REF!
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,53,81,81,69,11,46,80,81,44,81,,
,,39,44,44,42,23,29,44,44,26,43,,
,,25,30,30,30,25,14,30,30,21,30,,
,,117,155,155,141,59,89,154,155,91,154,,