repo_name,Number of Releases,contributors
plasticityai/magnitude,133,4
go-ego/gse,60,5
NUAA-AL/ALiPy,9,6
LexPredict/lexpredict-lexnlp,11,7
nok/sklearn-porter,15,7
SuperCowPowers/bat,11,8
pavlin-policar/openTSNE,10,9
esimov/pigo,14,9
materialsvirtuallab/megnet,34,9
undertheseanlp/underthesea,46,9
torchgan/torchgan,5,10
loli/medpy,11,10
Hironsan/anago,5,11
modAL-python/modAL,13,11
sebp/scikit-survival,30,11
OlafenwaMoses/ImageAI,12,12
Accenture/AmpliGraph,14,12
fukuball/jieba-php,18,12
shenweichen/DeepCTR,38,12
qupath/qupath,43,12
explosion/spacy-models,1096,12
philipperemy/keras-tcn,8,14
explosion/sense2vec,18,14
allenai/scispacy,12,16
autonomio/talos,16,16
HealthCatalyst/healthcareai-r,17,16
Tiiiger/bert_score,18,16
kelaberetiv/TagUI,23,16
Drakkar-Software/OctoBot,112,16
olivia-ai/olivia,13,17
jeeliz/jeelizFaceFilter,6,18
leon-ai/leon,20,18
SMTorg/smt,46,19
NeuroTechX/moabb,9,20
maxpumperla/elephas,10,20
alfredfrancis/ai-chatbot-framework,11,21
openml/automlbenchmark,14,21
mit-nlp/MITIE,5,22
ironmussa/Optimus,87,22
atomistic-machine-learning/schnetpack,10,24
infinitered/nsfwjs,14,24
DigitalSlideArchive/HistomicsTK,37,25
cmusatyalab/openface,5,26
microsoft/CameraTraps,8,27
deepmind/dm_control,28,27
microsoft/EconML,33,27
microsoft/interpret,50,27
RubixML/RubixML,78,27
benfred/implicit,7,28
sipeed/MaixPy,22,28
tensorflow/ranking,18,29
zhenghaoz/gorse,35,29
PaddlePaddle/VisualDL,17,30
bigartm/bigartm,30,30
SmartDataAnalytics/PyKEEN,21,31
IntelAI/OpenVINO-model-server,34,31
brainiak/brainiak,6,32
poldracklab/mriqc,65,32
PaddlePaddle/LARK,6,33
pyannote/pyannote-audio,9,34
rtavenar/tslearn,21,34
jsbroks/coco-annotator,27,35
hankcs/HanLP,62,35
yzhao062/pyod,42,36
hellohaptik/chatbot_ner,53,36
mne-tools/mne-cpp,11,38
Hananel-Hazan/bindsnet,9,39
openml/openml-python,14,39
hls-fpga-machine-learning/hls4ml,17,39
kermitt2/grobid,21,40
ultralytics/yolov3,12,41
openvenues/libpostal,7,42
fastnlp/fastNLP,7,43
mwydmuch/ViZDoom,30,43
awslabs/mxnet-model-server,24,45
tensorly/tensorly,6,46
nyu-mll/jiant,19,46
facebookresearch/habitat-sim,28,47
rflamary/POT,29,47
skorch-dev/skorch,17,48
Angel-ML/angel,19,49
nubank/fklearn,32,50
wkentaro/labelme,70,50
facebookresearch/flashlight,5,51
awslabs/sockeye,76,51
neurodata/graspy,16,52
zvtvz/zvt,39,53
explosion/thinc,87,53
intel/dffml,14,55
axa-group/nlp.js,43,57
microsoft/dowhy,16,58
geomstats/geomstats,23,58
scikit-learn-contrib/imbalanced-learn,39,58
jmschrei/pomegranate,5,61
scikit-optimize/scikit-optimize,23,64
scikit-learn-contrib/hdbscan,56,64
microsoft/MMdnn,12,67
HazyResearch/snorkel,16,68
WeBankFinTech/FATE,51,69
mlr-org/mlr,20,74
NVIDIA/DALI,88,75
dmlc/gluon-nlp,15,77
IntelAI/models,31,78
rasbt/mlxtend,32,79
chakki-works/doccano,32,80
creme-ml/creme,17,82
microsoft/pai,28,83
ml5js/ml5-library,50,83
gunthercox/ChatterBot,88,84
Azure/mmlspark,62,87
spencermountain/compromise,75,87
IDSIA/sacred,15,90
biolab/orange3,44,92
AlexEMG/DeepLabCut,58,93
CMU-Perceptual-Computing-Lab/openpose,15,96
theislab/scanpy,89,100
JohnSnowLabs/spark-nlp,143,100
DistrictDataLabs/yellowbrick,24,105
rapidsai/cuml,44,117
uber/ludwig,51,121
microsoft/Recognizers-Text,63,121
pyro-ppl/pyro,35,122
pytorch/text,31,132
deepchem/deepchem,20,146
SeldonIO/seldon-core,74,147
MycroftAI/mycroft-core,128,157
tesseract-ocr/tesseract,33,158
nilearn/nilearn,13,159
intel-analytics/BigDL,20,159
OpenNMT/OpenNMT-py,50,163
slundberg/shap,55,165
pytorch/ignite,23,170
dotnet/machinelearning,36,179
catboost/catboost,89,183
zalandoresearch/flair,28,185
arraiyopensource/kornia,41,189
espnet/espnet,54,190
alan-turing-institute/sktime,85,191
microsoft/AirSim,30,203
VowpalWabbit/vowpal_wabbit,30,210
tensorflow/tensor2tensor,75,217
Tencent/ncnn,44,228
dmlc/dgl,39,229
allenai/allennlp,59,254
BVLC/caffe,14,261
microsoft/LightGBM,34,265
opencv/opencv,65,294
mne-tools/mne-python,58,299
opencv/dldt,51,357
microsoft/onnxruntime,55,372
apache/incubator-mxnet,34,375
RaRe-Technologies/gensim,43,383
explosion/spaCy,127,403
dmlc/xgboost,62,412
pytorch/vision,46,454