owner,repo
maxpumperla,elephas
atomistic-machine-learning,schnetpack
alfredfrancis,ai-chatbot-framework
mne-tools,mne-cpp
ultralytics,yolov3
microsoft,MMdnn
olivia-ai,olivia
openml,automlbenchmark
infinitered,nsfwjs
openml,openml-python
intel,dffml
BVLC,caffe
dmlc,gluon-nlp
IDSIA,sacred
CMU-Perceptual-Computing-Lab,openpose
neurodata,graspy
HazyResearch,snorkel
PaddlePaddle,VisualDL
hls-fpga-machine-learning,hls4ml
skorch-dev,skorch
creme-ml,creme
tensorflow,ranking
nyu-mll,jiant
leon-ai,leon
mlr-org,mlr
deepchem,deepchem
intel-analytics,BigDL
SmartDataAnalytics,PyKEEN
rtavenar,tslearn
geomstats,geomstats
scikit-optimize,scikit-optimize
pytorch,ignite
awslabs,mxnet-model-server
DistrictDataLabs,yellowbrick
jsbroks,coco-annotator
rflamary,POT
bigartm,bigartm
mwydmuch,ViZDoom
VowpalWabbit,vowpal_wabbit
pytorch,text
nubank,fklearn
rasbt,mlxtend
chakki-works,doccano
microsoft,EconML
IntelAI,OpenVINO-model-server
microsoft,LightGBM
apache,incubator-mxnet
pyro-ppl,pyro
DigitalSlideArchive,HistomicsTK
zvtvz,zvt
dmlc,dgl
arraiyopensource,kornia
yzhao062,pyod
axa-group,nlp.js
RaRe-Technologies,gensim
biolab,orange3
rapidsai,cuml
Tencent,ncnn
SMTorg,smt
pytorch,vision
microsoft,interpret
ml5js,ml5-library
OpenNMT,OpenNMT-py
WeBankFinTech,FATE
uber,ludwig
opencv,dldt
hellohaptik,chatbot_ner
espnet,espnet
slundberg,shap
microsoft,onnxruntime
scikit-learn-contrib,hdbscan
mne-tools,mne-python
Azure,mmlspark
dmlc,xgboost
microsoft,Recognizers-Text
poldracklab,mriqc
opencv,opencv
wkentaro,labelme
SeldonIO,seldon-core
spencermountain,compromise
tensorflow,tensor2tensor
awslabs,sockeye
RubixML,RubixML
alan-turing-institute,sktime
ironmussa,Optimus
explosion,thinc
NVIDIA,DALI
gunthercox,ChatterBot
theislab,scanpy
catboost,catboost