owner,repo
py-why,dowhy
HealthCatalyst,healthcareai-r
nilearn,nilearn
tensorly,tensorly
google-deepmind,dm_control
kermitt2,grobid
scikit-learn-contrib,imbalanced-learn
tesseract-ocr,tesseract
NVIDIA,DALI
DeepLabCut,DeepLabCut
Drakkar-Software,OctoBot
JohnSnowLabs,spark-nlp
uber,ludwig
facebookresearch,habitat-sim
Angel-ML,angel
microsoft,CameraTraps
microsoft,pai
IntelAI,models
jmschrei,pomegranate
theislab,scanpy
dotnet,machinelearning
zalandoresearch,flair
microsoft,AirSim
allenai,allennlp
microsoft,LightGBM